title,content_type,genre,url,tomatometer,popcornmeter,summary,critics_consensus,platforms
Obsession,Movie,Horror,https://www.rottentomatoes.com/m/obsession_2025,95%,95%,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.","Taking an icky conceit and twisting it to deviously crowd-pleasing ends, Obsession is dauntingly disturbing while also skillfully amusing and thrilling.","Fandango at Home, Netflix, Apple TV, Prime Video"
Is God Is,Movie,Mystery & Thriller,https://www.rottentomatoes.com/m/is_god_is,98%,89%,"In Is God Is, two sisters embark on an epic quest for revenge, confronting a charged family history that will push them to extraordinary lengths. The film is Aleshea Harris' directorial debut and is based on Harris' adaptation of her award-winning play of the same name.","Stylistically freewheeling and fueled by righteous fury, Is God Is is a blistering revenge thriller executed with superb directorial confidence by Aleshea Harris.","Fandango at Home, Netflix, Apple TV, Prime Video"
Tuner,Movie,Crime|Drama|Romance|Music,https://www.rottentomatoes.com/m/tuner,94%,,"In Tuner, Academy Award-winning director Daniel Roher's first narrative feature, Leo Woodall stars as a gifted young piano tuner whose heightened sense of hearing draws the attention of criminals, who see his talents as useful for opening safes as well as for tuning Steinways. With his once-promising musical career over, he works across New York with his mentor Harry Horowitz (Academy Award-winner Dustin Hoffman), encountering a range of characters, including composition student Ruthie (Havana Rose Liu), with whom he forges an unexpected connection. Niki's safecracking work threatens his budding romance with Ruthie and pulls him into increasingly dangerous territory.","Announcing Leo Woodall as a compelling star talent, Tuner enhances its nifty caper setup with a smart sense of humor and vivid characterizations.","Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Spider-Noir,TV Show,Action|Adventure|Crime|Drama|Fantasy|Mystery & Thriller|Sci-Fi,https://www.rottentomatoes.com/tv/spider_noir/s01,91%,,"Private eye Ben Reilly is living easy and lazy until mobsters, monsters and a femme fatale drag him back to his former life as NY's only superhero.","Nicolas Cage delivers a gloriously pulpy performance that makes every quip and thwip crackle in Spider-Noir -- a dazzling, stylish blend of hard-boiled storytelling and pure comic book verve.","Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Summerwater,TV Show,Drama|Mystery & Thriller,https://www.rottentomatoes.com/tv/summerwater/s01,30%,,"At a Scottish loch-side cabin park, multiple families deal with hidden tensions and personal struggles while experiencing brief moments of joy from their separate vacation homes.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 9 – Rick and Morty,TV Show,Action|Adventure|Comedy|Animation,https://www.rottentomatoes.com/tv/rick_and_morty/s09,100%,,"After having been missing for nearly 20 years, Rick Sanchez suddenly arrives at daughter Beth's doorstep to move in with her and her family. Although Beth welcomes Rick into her home, her husband, Jerry, isn't as happy about the family reunion. Jerry is concerned about Rick, a sociopathic scientist, using the garage as his personal laboratory. In the lab, Rick works on a number of sci-fi gadgets, some of which could be considered dangerous. But that's not all Rick does that concerns Jerry. He also goes on adventures across the universe that often involve his grandchildren, Morty and Summer.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Star City,TV Show,Drama|Action,https://www.rottentomatoes.com/tv/star_city/s01,,,"In this expansion of the ""For All Mankind"" universe, experience a what-if take on the global space race from the Soviet Union perspective; go behind the Iron Curtain, where it's more dangerous on the ground than in space.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 2 – The Four Seasons,TV Show,Comedy|Romance,https://www.rottentomatoes.com/tv/the_four_seasons_2025/s02,,,"Six old friends head for a relaxing weekend away only to learn that one couple in the group is about to split up. The three couples, Kate and Jack, Nick and Anne, and Danny and Claude, are completely upended by the news. Over the course of a year, we follow the friends on four vacations, and watch how this shake-up affects everyone’s dynamic -- sending old issues and new bubbling to the surface.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 2 – A Good Girl's Guide to Murder,TV Show,Mystery & Thriller|Crime,https://www.rottentomatoes.com/tv/a_good_girls_guide_to_murder/s02,,,"Pip Fitz-Amobi, a brilliant woman, is unsure whether schoolgirl Andie Bell was killed by her lover Sal Singh five years ago; they must see how far they will go to protect Pip from learning the truth if Sal Singh turns out not to be the murderer.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 2 – Deli Boys,TV Show,Comedy|Crime,https://www.rottentomatoes.com/tv/deli_boys/s02,,,"When their convenience store-magnate father suddenly dies, a pair of pampered Pakistani American brothers lose everything and are forced to reckon with their Baba's secret life of crime as they attempt to take up his mantle in the underworld.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – World War II With Tom Hanks,TV Show,Documentary|History|War,https://www.rottentomatoes.com/tv/world_war_ii_with_tom_hanks/s01,,,"Exploring WWII from Germany's invasion of Poland through the atomic age and examining pivotal battles, wartime leaders like Churchill and Roosevelt and the human cost of total war.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 19 – Criminal Minds,TV Show,Crime|Drama|Mystery & Thriller,https://www.rottentomatoes.com/tv/criminal_minds/s19,,,"An elite squad of FBI profilers analyzes the country's most-twisted criminal minds, anticipating the perpetrators' next moves before they can strike again. Each member of the ""mind hunter"" team brings his or her expertise to pinpoint predators' motivations and identify emotional triggers to stop them. The core group includes an official profiler who is highly skilled at getting into the minds of criminals, a quirky genius, the former media liaison who manages to adeptly balance family life and the job, and a computer wizard.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Calabasas Confidential,TV Show,Reality,https://www.rottentomatoes.com/tv/calabasas_confidential/s01,,,"Fresh out of college, a tight-knit group of friends, exes and rivals returns to hillside SoCal luxury and unfinished drama.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – The Boroughs,TV Show,Drama|Adventure|Mystery & Thriller|Sci-Fi,https://www.rottentomatoes.com/tv/the_boroughs/s01,95%,86%,"In a seemingly picturesque retirement community, a group of unlikely heroes must band together to stop an otherworldly threat from stealing the one thing they don't have, time.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 5 – The Boys,TV Show,Comedy|Drama|Action|Adventure|Fantasy,https://www.rottentomatoes.com/tv/the_boys_2019/s05,92%,52%,"Superheroes are often as popular as celebrities, as influential as politicians, and sometimes even as revered as gods. But that's when they're using their powers for good. What happens when the heroes go rogue and start abusing their powers? When it's the powerless against the super powerful, the Boys head out on a heroic quest to expose the truth about the Seven and Vought, the multibillion-dollar conglomerate that manages the superheroes and covers up their dirty secrets. Based on the comic book series of the same name.","The Boys stays true to its form and completes its mission with ample panache, narrative pay-off, and an excess of blood and guts to deviously glorious effect.","Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Maximum Pleasure Guaranteed,TV Show,Comedy,https://www.rottentomatoes.com/tv/maximum_pleasure_guaranteed/s01,92%,87%,"Newly divorced mom Paula falls down a rabbit hole of blackmail, murder and youth soccer; convinced she witnessed a crime, while struggling through a custody battle and an identity crisis, Paula begins her own investigation.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Off Campus,TV Show,Drama|Romance,https://www.rottentomatoes.com/tv/off_campus/s01,93%,88%,Love blooms between a music student and the university's star hockey player; exploring love and the complexities of adulthood through deep friendships and enduring bonds.,Off Campus thrives on titillation and the deliberate excavation of relationship dynamics in a whirlwind romance novel adaptation that genuinely cares for the genre and all its pleasurable trappings.,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Widow's Bay,TV Show,Comedy|Horror,https://www.rottentomatoes.com/tv/widows_bay/s01,97%,91%,A New England mayor trying to boost tourism on his island must navigate strange events suggesting it might be cursed.,"Katie Dippold successfully continues to invest in eccentricity with this outlandish horror-comedy that stokes the genre's well-worn tropes to winning effect, bringing scares, laughs, and a game cast.","Fandango at Home, Netflix, Apple TV, Prime Video"
